# IVD_Stats
#
# History:
#
# 201x-xx-xx Combined registration of the PanCJKV collection and of
#            sequences in that collection (EXPERIMENTAL/UNREGISTERED).
#
# 2014-05-16 Combined registration of the Moji_Joho collection and of
#            sequences in that collection.
#
# 2012-03-02 Registration of additional sequences in the Adobe-Japan1
#            collection. Registration of additional sequences in the
#            Hanyo-Denshi collection.
#
# 2010-11-14 Combined registration of the Hanyo-Denshi collection and of
#            sequences in that collection.
#
# 2007-12-14 Combined registration of the Adobe-Japan1 collection and of
#            sequences in that collection.
#
# IVS, Base Character & Variation Selector Usage Statistics
#
# The first row reports the total number of unique IVSes; the second row
# reports the total number of unique base characters; the rows that begin
# with 'VS' followed by an integer report the total number of unique IVSes
# using a particular variation selector; and subsequent rows that simply
# begin with an integer value report the number of base characters which
# include that particular number of IVSes.
#
# 1st Column: Identifies the type of information; value can be 'IVS',
#             'BC' (base character), a short name for a VS in the form
#             'VSnn' or 'VSnnn', or an integer value
# 2nd Column: Sum total for each column statistics
# 3rd Column: Data for the Adobe-Japan1 collection
# 4th Column: Data for the Hanyo-Denshi collection
# 5th Column: Data for the Moji_Joho collection
# 6th Column: Data for the PanCJKV collection
#
# Additional columns will be defined as new collections are added.
#
# Duplicate sequence identifiers and shared IVSes are reported in comments
# at the end of the file.
#
# This file is part of the Unicode Ideographic Variation Database (IVD).
# For more details on the IVD, see UTS #37:
# http://www.unicode.org/reports/tr37/
#
# Copyright 2006-2016 Unicode, Inc.
# For terms of use, see: http://www.unicode.org/terms_of_use.html
#
#       TOTAL    Adobe-Japan1   Hanyo-Denshi   Moji_Joho   PanCJKV
# 34B8 E0100: Hanyo-Denshi; KS017260 & Moji_Joho; MJ000143
# 34B8 E0101: Hanyo-Denshi; KS412410 & Moji_Joho; MJ000144
# 34B9 E0100: Hanyo-Denshi; IA1003 & Moji_Joho; MJ000146
# 34B9 E0101: Hanyo-Denshi; KS017740 & Moji_Joho; MJ000145
# 34BC E0101: Hanyo-Denshi; IA0133 & Moji_Joho; MJ000150
# 34BC E0102: Hanyo-Denshi; KS018450 & Moji_Joho; MJ057021
# 34C3 E0100: Hanyo-Denshi; IA0135 & Moji_Joho; MJ000156
# 34C3 E0101: Hanyo-Denshi; JTADF7 & Moji_Joho; MJ000157
# 34D7 E0100: Hanyo-Denshi; IA0136 & Moji_Joho; MJ000175
# 34D7 E0101: Hanyo-Denshi; KS020320 & Moji_Joho; MJ000176
# 34DE E0100: Hanyo-Denshi; IA1026 & Moji_Joho; MJ000183
# 34DE E0102: Hanyo-Denshi; KS022450 & Moji_Joho; MJ000184
# 34DE E0103: Hanyo-Denshi; KS022460 & Moji_Joho; MJ000185
# 34F5 E0100: Hanyo-Denshi; IA1042 & Moji_Joho; MJ000206
# 34F5 E0101: Hanyo-Denshi; KS024690 & Moji_Joho; MJ000207
# 34F6 E0100: Hanyo-Denshi; IA1043 & Moji_Joho; MJ000208
# 34F6 E0101: Hanyo-Denshi; KS024700 & Moji_Joho; MJ000209
# 351C E0100: Hanyo-Denshi; IA0147 & Moji_Joho; MJ000242
# 351C E0101: Hanyo-Denshi; KS027290 & Moji_Joho; MJ000241
# 351F E0101: Hanyo-Denshi; IA0148 & Moji_Joho; MJ000245
# 351F E0102: Hanyo-Denshi; JTAE38 & Moji_Joho; MJ059383
# 3530 E0100: Hanyo-Denshi; IA0152 & Moji_Joho; MJ000265
# 3530 E0101: Hanyo-Denshi; KS030440 & Moji_Joho; MJ000264
# 3531 E0100: Hanyo-Denshi; IA0153 & Moji_Joho; MJ000266
# 3531 E0101: Hanyo-Denshi; JTAE5B & Moji_Joho; MJ000267
# 3534 E0100: Hanyo-Denshi; IA0155 & Moji_Joho; MJ000269
# 3534 E0101: Hanyo-Denshi; KS030960 & Moji_Joho; MJ000270
# 353A E0100: Hanyo-Denshi; IA0157 & Moji_Joho; MJ000276
# 353A E0101: Hanyo-Denshi; KS031460 & Moji_Joho; MJ000277
# 3553 E0100: Hanyo-Denshi; IA0161 & Moji_Joho; MJ000303
# 3553 E0101: Hanyo-Denshi; KS035250 & Moji_Joho; MJ000302
# 356F E0100: Hanyo-Denshi; IA0170 & Moji_Joho; MJ000332
# 356F E0101: Hanyo-Denshi; JTAEB5 & Moji_Joho; MJ000333
# 35B6 E0100: Hanyo-Denshi; IA0178 & Moji_Joho; MJ000381
# 35B6 E0101: Hanyo-Denshi; KS044620 & Moji_Joho; MJ000380
# 35D6 E0100: Hanyo-Denshi; IA0183 & Moji_Joho; MJ000408
# 35D6 E0101: Hanyo-Denshi; JTAEF9 & Moji_Joho; MJ000409
# 35F4 E0101: Hanyo-Denshi; JD0434 & Moji_Joho; MJ000433
# 35F4 E0102: Hanyo-Denshi; IA1205 & Moji_Joho; MJ000432
# 35FB E0100: Hanyo-Denshi; IB0306 & Moji_Joho; MJ000437
# 35FB E0101: Hanyo-Denshi; IB0635 & Moji_Joho; MJ000436
# 3644 E0100: Hanyo-Denshi; IA0192 & Moji_Joho; MJ000499
# 3644 E0101: Hanyo-Denshi; JTAF5E & Moji_Joho; MJ000500
# 365B E0100: Hanyo-Denshi; IA1342 & Moji_Joho; MJ000519
# 365B E0101: Hanyo-Denshi; JTAF74 & Moji_Joho; MJ000520
# 3687 E0100: Hanyo-Denshi; KS065480 & Moji_Joho; MJ057255
# 3687 E0101: Hanyo-Denshi; KS065500 & Moji_Joho; MJ000557
# 3689 E0100: Hanyo-Denshi; IA0203 & Moji_Joho; MJ000560
# 3689 E0101: Hanyo-Denshi; KS066150 & Moji_Joho; MJ000559
# 3691 E0101: Hanyo-Denshi; IA0204 & Moji_Joho; MJ000568
# 3691 E0102: Hanyo-Denshi; JTAFBF & Moji_Joho; MJ000567
# 36FA E0100: Hanyo-Denshi; IA1468 & Moji_Joho; MJ000660
# 36FA E0101: Hanyo-Denshi; KS074820 & Moji_Joho; MJ000661
# 36FC E0100: Hanyo-Denshi; IA1470 & Moji_Joho; MJ000663
# 36FC E0101: Hanyo-Denshi; KS075180 & Moji_Joho; MJ000664
# 3732 E0100: Hanyo-Denshi; IA1517 & Moji_Joho; MJ000711
# 3732 E0101: Hanyo-Denshi; KS078360 & Moji_Joho; MJ000712
# 3778 E0100: Hanyo-Denshi; IA0221 & Moji_Joho; MJ034205
# 3778 E0101: Hanyo-Denshi; KS085370 & Moji_Joho; MJ000778
# 37B7 E0100: Hanyo-Denshi; IA0227 & Moji_Joho; MJ000836
# 37B7 E0101: Hanyo-Denshi; KS088980 & Moji_Joho; MJ000835
# 37D0 E0100: Hanyo-Denshi; KS092070 & Moji_Joho; MJ000859
# 37D0 E0101: Hanyo-Denshi; KS092330 & Moji_Joho; MJ000860
# 37DF E0100: Hanyo-Denshi; IA0237 & Moji_Joho; MJ000873
# 37DF E0101: Hanyo-Denshi; JTB079 & Moji_Joho; MJ000874
# 37E7 E0100: Hanyo-Denshi; IA0240 & Moji_Joho; MJ000879
# 37E7 E0101: Hanyo-Denshi; KS094210 & Moji_Joho; MJ000880
# 3809 E0100: Hanyo-Denshi; IA0245 & Moji_Joho; MJ000910
# 3809 E0101: Hanyo-Denshi; KS096130 & Moji_Joho; MJ000911
# 3817 E0100: Hanyo-Denshi; IA0251 & Moji_Joho; MJ000926
# 3817 E0101: Hanyo-Denshi; JTB085 & Moji_Joho; MJ000927
# 382F E0101: Hanyo-Denshi; IA0254 & Moji_Joho; MJ000946
# 382F E0102: Hanyo-Denshi; KS099080 & Moji_Joho; MJ000944
# 382F E0103: Hanyo-Denshi; JD0879 & Moji_Joho; MJ000945
# 3836 E0101: Hanyo-Denshi; JD0881 & Moji_Joho; MJ000951
# 3836 E0102: Hanyo-Denshi; JTB09F & Moji_Joho; MJ059541
# 384C E0100: Hanyo-Denshi; IA0256 & Moji_Joho; MJ000973
# 384C E0101: Hanyo-Denshi; IB0669 & Moji_Joho; MJ000974
